 # xp yp zp bx by bz
 0.27586E-01 -0.37241E+00  0.00000E+00 -0.18402E-03  0.23948E-03  0.48087E-02
 0.41379E-01 -0.37241E+00  0.00000E+00 -0.18421E-03  0.25762E-03  0.51856E-02
 0.55172E-01 -0.37241E+00  0.00000E+00 -0.18309E-03  0.27648E-03  0.55802E-02
 0.68966E-01 -0.37241E+00  0.00000E+00 -0.18048E-03  0.29593E-03  0.59898E-02
 0.82759E-01 -0.37241E+00  0.00000E+00 -0.17621E-03  0.31576E-03  0.64110E-02
 0.96552E-01 -0.37241E+00  0.00000E+00 -0.17014E-03  0.33576E-03  0.68393E-02
 0.11034E+00 -0.37241E+00  0.00000E+00 -0.16212E-03  0.35564E-03  0.72695E-02
 0.12414E+00 -0.37241E+00  0.00000E+00 -0.15208E-03  0.37511E-03  0.76958E-02
 0.13793E+00 -0.37241E+00  0.00000E+00 -0.13994E-03  0.39383E-03  0.81112E-02
 0.15172E+00 -0.37241E+00  0.00000E+00 -0.12570E-03  0.41146E-03  0.85083E-02
 0.16552E+00 -0.37241E+00  0.00000E+00 -0.10937E-03  0.42763E-03  0.88790E-02
 0.17931E+00 -0.37241E+00  0.00000E+00 -0.91061E-04  0.44195E-03  0.92148E-02
 0.19310E+00 -0.37241E+00  0.00000E+00 -0.70905E-04  0.45404E-03  0.95067E-02
 0.20690E+00 -0.37241E+00  0.00000E+00 -0.49123E-04  0.46354E-03  0.97458E-02
 0.22069E+00 -0.37241E+00  0.00000E+00 -0.26000E-04  0.47010E-03  0.99232E-02
 0.23448E+00 -0.37241E+00  0.00000E+00 -0.19022E-05  0.47343E-03  0.10031E-01
 0.24828E+00 -0.37241E+00  0.00000E+00  0.22731E-04  0.47329E-03  0.10063E-01
 0.26207E+00 -0.37241E+00  0.00000E+00  0.47395E-04  0.46955E-03  0.10013E-01
 0.27586E+00 -0.37241E+00  0.00000E+00  0.71539E-04  0.46220E-03  0.98815E-02
 0.28966E+00 -0.37241E+00  0.00000E+00  0.94598E-04  0.45135E-03  0.96687E-02
 0.30345E+00 -0.37241E+00  0.00000E+00  0.11603E-03  0.43726E-03  0.93801E-02
 0.31724E+00 -0.37241E+00  0.00000E+00  0.13537E-03  0.42034E-03  0.90245E-02
 0.33103E+00 -0.37241E+00  0.00000E+00  0.15225E-03  0.40109E-03  0.86131E-02
 0.34483E+00 -0.37241E+00  0.00000E+00  0.16642E-03  0.38007E-03  0.81594E-02
 0.35862E+00 -0.37241E+00  0.00000E+00  0.17780E-03  0.35788E-03  0.76773E-02
 0.37241E+00 -0.37241E+00  0.00000E+00  0.18643E-03  0.33509E-03  0.71802E-02
 0.38621E+00 -0.37241E+00  0.00000E+00  0.19243E-03  0.31223E-03  0.66804E-02
 0.40000E+00 -0.37241E+00  0.00000E+00  0.19604E-03  0.28972E-03  0.61881E-02
 0.00000E+00 -0.35862E+00  0.00000E+00 -0.16528E-03  0.19817E-03  0.37463E-02
 0.13793E-01 -0.35862E+00  0.00000E+00 -0.16670E-03  0.21299E-03  0.40342E-02
 0.27586E-01 -0.35862E+00  0.00000E+00 -0.16722E-03  0.22855E-03  0.43380E-02
 0.41379E-01 -0.35862E+00  0.00000E+00 -0.16671E-03  0.24477E-03  0.46562E-02
 0.55172E-01 -0.35862E+00  0.00000E+00 -0.16502E-03  0.26154E-03  0.49873E-02
 0.68966E-01 -0.35862E+00  0.00000E+00 -0.16200E-03  0.27872E-03  0.53286E-02
 0.82759E-01 -0.35862E+00  0.00000E+00 -0.15752E-03  0.29615E-03  0.56773E-02
 0.96552E-01 -0.35862E+00  0.00000E+00 -0.15147E-03  0.31361E-03  0.60297E-02
 0.11034E+00 -0.35862E+00  0.00000E+00 -0.14375E-03  0.33088E-03  0.63813E-02
 0.12414E+00 -0.35862E+00  0.00000E+00 -0.13429E-03  0.34770E-03  0.67273E-02
 0.13793E+00 -0.35862E+00  0.00000E+00 -0.12305E-03  0.36378E-03  0.70623E-02
 0.15172E+00 -0.35862E+00  0.00000E+00 -0.11003E-03  0.37884E-03  0.73801E-02
 0.16552E+00 -0.35862E+00  0.00000E+00 -0.95285E-04  0.39256E-03  0.76745E-02
 0.17931E+00 -0.35862E+00  0.00000E+00 -0.78892E-04  0.40463E-03  0.79387E-02
 0.19310E+00 -0.35862E+00  0.00000E+00 -0.60996E-04  0.41473E-03  0.81661E-02
 0.20690E+00 -0.35862E+00  0.00000E+00 -0.41792E-04  0.42258E-03  0.83497E-02
 0.22069E+00 -0.35862E+00  0.00000E+00 -0.21533E-04  0.42791E-03  0.84834E-02
 0.23448E+00 -0.35862E+00  0.00000E+00 -0.53071E-06  0.43049E-03  0.85615E-02
 0.24828E+00 -0.35862E+00  0.00000E+00  0.20851E-04  0.43015E-03  0.85795E-02
 0.26207E+00 -0.35862E+00  0.00000E+00  0.42201E-04  0.42681E-03  0.85346E-02
 0.27586E+00 -0.35862E+00  0.00000E+00  0.63084E-04  0.42047E-03  0.84259E-02
 0.28966E+00 -0.35862E+00  0.00000E+00  0.83058E-04  0.41124E-03  0.82550E-02
 0.30345E+00 -0.35862E+00  0.00000E+00  0.10170E-03  0.39932E-03  0.80259E-02
 0.31724E+00 -0.35862E+00  0.00000E+00  0.11866E-03  0.38504E-03  0.77448E-02
 0.33103E+00 -0.35862E+00  0.00000E+00  0.13362E-03  0.36877E-03  0.74201E-02
 0.34483E+00 -0.35862E+00  0.00000E+00  0.14641E-03  0.35097E-03  0.70610E-02
 0.35862E+00 -0.35862E+00  0.00000E+00  0.15693E-03  0.33208E-03  0.66778E-02
 0.37241E+00 -0.35862E+00  0.00000E+00  0.16518E-03  0.31257E-03  0.62801E-02
 0.38621E+00 -0.35862E+00  0.00000E+00  0.17124E-03  0.29284E-03  0.58773E-02
 0.40000E+00 -0.35862E+00  0.00000E+00  0.17528E-03  0.27327E-03  0.54772E-02
 0.00000E+00 -0.34483E+00  0.00000E+00 -0.15152E-03  0.19049E-03  0.34150E-02
 0.13793E-01 -0.34483E+00  0.00000E+00 -0.15225E-03  0.20391E-03  0.36620E-02
